1)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 4, 1 ], [ 4, 2 ], [ 4, 3 ], [ 5, 1 ], [ 5, 2 ], [ 5, 3 ] ] ]
2)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 2, 4 ], [ 3, 4 ], [ 4, 1 ], [ 5, 1 ], [ 5, 2 ], [ 5, 3 ] ] ]
3)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 3 ], [ 2, 3 ], [ 4, 3 ], [ 4, 5 ], [ 5, 1 ], [ 5, 2 ] ] ]
4)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 4 ], [ 1, 5 ], [ 2, 4 ], [ 2, 5 ], [ 3, 4 ], [ 3, 5 ] ] ]
5)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 2, 3 ], [ 2, 4 ], [ 3, 1 ], [ 4, 5 ], [ 5, 1 ] ] ]
6)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 2 ], [ 1, 3 ], [ 3, 4 ], [ 4, 5 ], [ 5, 2 ] ] ]
7)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 2, 3 ], [ 3, 1 ], [ 3, 5 ], [ 4, 1 ], [ 5, 2 ], [ 5, 4 ] ] ]
8)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 5 ], [ 2, 3 ], [ 2, 5 ], [ 3, 1 ], [ 4, 1 ], [ 5, 4 ] ] ]
9)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 3 ], [ 1, 5 ], [ 2, 5 ], [ 4, 2 ], [ 4, 3 ] ] ]
10)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 2 ], [ 1, 3 ], [ 2, 3 ], [ 2, 5 ], [ 4, 1 ], [ 4, 3 ], [ 4, 5 ] ] ]
11)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 3 ], [ 1, 4 ], [ 2, 3 ], [ 2, 4 ], [ 3, 5 ], [ 5, 4 ] ] ]
12)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 2, 1 ], [ 2, 4 ], [ 3, 1 ], [ 3, 4 ], [ 4, 5 ], [ 5, 1 ], [ 5, 3 ] ] ]
13)	[ 1, 0, 1, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 3 ], [ 1, 4 ], [ 1, 5 ], [ 2, 3 ], [ 2, 4 ], [ 2, 5 ], [ 3, 5 ], [ 4, 3 ], [ 5, 4 ] ] ]
14)	[ 1, 0, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 2 ], [ 2, 3 ], [ 3, 1 ], [ 4, 1 ], [ 4, 3 ], [ 5, 1 ], [ 5, 2 ], [ 5, 4 ] ] ]
15)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 4 ], [ 2, 1 ], [ 2, 3 ], [ 2, 5 ], [ 3, 1 ], [ 4, 3 ], [ 4, 5 ] ] ]
16)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 4 ], [ 2, 1 ], [ 3, 1 ], [ 3, 2 ], [ 3, 4 ], [ 4, 5 ], [ 5, 2 ] ] ]
17)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 4 ], [ 1, 5 ], [ 2, 1 ], [ 2, 3 ], [ 2, 4 ], [ 3, 1 ], [ 5, 3 ], [ 5, 4 ] ] ]
18)	[ 1, 0, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 2 ], [ 1, 5 ], [ 2, 3 ], [ 3, 5 ], [ 4, 1 ], [ 4, 2 ], [ 4, 3 ], [ 5, 2 ], [ 5, 4 ] ] ]
19)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 5 ], [ 2, 4 ], [ 4, 1 ], [ 4, 3 ], [ 5, 2 ], [ 5, 3 ] ] ]
20)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 5 ], [ 3, 1 ], [ 3, 2 ], [ 4, 3 ], [ 4, 5 ], [ 5, 2 ] ] ]
21)	[ 1, 1, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 5 ], [ 2, 4 ], [ 3, 2 ], [ 4, 1 ], [ 5, 3 ] ] ]
22)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 3 ], [ 2, 1 ], [ 2, 5 ], [ 3, 4 ], [ 3, 5 ], [ 4, 2 ], [ 5, 4 ] ] ]
23)	[ 1, 2, 0, 0, 0, 0, 0 ]	 - 	[ 5, [ [ 1, 4 ], [ 1, 5 ], [ 2, 3 ], [ 2, 5 ], [ 3, 1 ], [ 4, 2 ], [ 5, 3 ], [ 5, 4 ] ] ]
